x,y
27.344022949748425,-385.4883601649791
27.488160480146437,-384.99629936925385
27.630737908122917,-384.51225714043983
27.772063879470167,-384.03184835360963
27.912028344056374,-383.55400859956706
28.05172982427074,-383.0774933714483
28.1910891680499,-382.60173724334066
28.330393694807498,-382.1270080452773
28.470470970412286,-381.6531977723234
28.611271218280066,-381.17761475056983
28.753165583064295,-380.6956804469818
28.89641187035497,-380.2063279117031
29.04371999873774,-379.7067876968057
29.19670438298812,-379.1952602328294
29.355076911536614,-378.6728441403203
29.51883057702617,-378.1401367856479
29.689097300222794,-377.59767003274794
29.867602759725585,-377.0427967023925
30.053385684736142,-376.4753293906132
30.245071509495524,-375.89855341229946
30.441704427842588,-375.3126474617062
30.643690175166327,-374.7167714758796
30.85076308889819,-374.1149985567971
31.061400875739007,-373.51332943192386
31.27458075889891,-372.9123862012969
31.489407090675908,-372.30955786727264
31.705047175739068,-371.7022170687031
31.92078745711589,-371.09179363823586
32.13602434957024,-370.4802547391352
32.35041174297788,-369.86655345345105
32.563717129088786,-369.2498849930615
32.77529488682254,-368.6316580623313
32.986895536245235,-368.0119810550035
33.20030035636303,-367.38920617889187
33.41600222754326,-366.7605089722681
33.63397962726939,-366.12431067478116
33.85341667080981,-365.4815343027681
34.07391137283025,-364.8306770916782
34.29513184995344,-364.1729903074689
34.517230575449894,-363.5095635029957
34.73901155127896,-362.8411697955801
34.96091913574401,-362.1685021113908
35.184001879262034,-361.4901266298964
35.40706076381521,-360.8058198345503
35.630149193557244,-360.1152343347324
35.85371936686117,-359.41960812471325
36.07687813995501,-358.719133167273
36.29871566203178,-358.0114941413693
36.51842060024382,-357.2958091221044
36.73604685265907,-356.5746568784576
36.95961824464456,-355.8267186709012
37.19152592335993,-355.04397655772954
37.42353342626176,-354.25380254017995
37.64959201484496,-353.47915221043127
37.86461152854641,-352.738839042791
38.06372035237015,-352.04984264634265
38.2423111195807,-351.4276289636568
38.39754869376604,-350.88147201317645
38.52826998341891,-350.4184676674484
38.63428913322095,-350.0441951734017
