x,y
18.591603678451392,-414.0758772545171
18.693684716684277,-413.74718469597417
18.819566028449756,-413.33890912177725
18.967645995228963,-412.85753227230157
19.13651203879487,-412.30911503540744
19.32219933267211,-411.70512163052666
19.519780916533012,-411.0590775831812
19.72542082244078,-410.3823217972683
19.934916625309338,-409.6904513352378
20.141766699849086,-409.0044436187906
20.33857615541715,-408.34692179145486
20.528668698803425,-407.7072131769803
20.716494189899223,-407.0705046254602
20.900137390426135,-406.44304502124714
21.080630566464883,-405.8226345230491
21.260259332722665,-405.205421097919
21.440918653734556,-404.5861005100657
21.622377129904123,-403.9663935343662
21.80321263743859,-403.35520754772386
21.986292748542944,-402.7484070812846
22.172309758584646,-402.14478222865637
22.359974101214544,-401.54972851406467
22.549488897709697,-400.9609384178866
22.73801792304942,-400.3787015018879
22.923699451440037,-399.80080076140734
23.107964277637084,-399.2228150880554
23.292114379345954,-398.64497549472225
23.475758381638492,-398.06865834107003
23.65902456951929,-397.491579587741
23.84111633929264,-396.91128143162183
24.022119132975725,-396.33109328076773
24.201119147497213,-395.75749408693855
24.377460816597566,-395.19118854498265
24.552253003941075,-394.63027660075863
24.726122611634697,-394.07297745373234
24.900409180620578,-393.51747246892353
25.076399096031405,-392.9630808922695
25.25449932934154,-392.409447571845
25.432148627514714,-391.85714257996347
25.608106170403914,-391.3045557922644
25.78202765154944,-390.75236246369025
25.951611321212617,-390.2040710861612
26.116630674886174,-389.6592243290153
26.277185765043626,-389.1190842364128
26.43457168991045,-388.58437846775485
26.590536443049924,-388.0541716033791
26.745195847143545,-387.5285717374373
26.897628417282515,-387.00711992243083
27.048246098345892,-386.49251461912905
27.19730473544216,-385.9874539690302
